"Bundle","Extension","Count"
"A_frameworks_templates",".docx","180"
"A_frameworks_templates",".pdf","75"
"A_frameworks_templates",".pptx","65"
"A_frameworks_templates",".xlsx","21"
"A_frameworks_templates",".md","4"
"A_frameworks_templates",".doc","2"
"A_frameworks_templates",".txt","2"
"A_frameworks_templates",".ipynb","2"
"A_frameworks_templates",".zip","1"
"A_frameworks_templates",".xlsb","1"
"A_frameworks_templates",".gz","1"
"A_frameworks_templates",".mp3","1"
"A_frameworks_templates",".mp4","1"
"A_frameworks_templates",".html","1"
"A_frameworks_templates","[none]","1"
"A_frameworks_templates",".png","1"
"B_MKT_working_library",".docx","399"
"B_MKT_working_library",".pdf","257"
"B_MKT_working_library",".pptx","212"
"B_MKT_working_library",".download","37"
"B_MKT_working_library",".xlsx","24"
"B_MKT_working_library",".png","21"
"B_MKT_working_library","[none]","10"
"B_MKT_working_library",".html","10"
"B_MKT_working_library",".jpg","6"
"B_MKT_working_library",".msg","5"
"B_MKT_working_library",".mp4","5"
"B_MKT_working_library",".csv","4"
"B_MKT_working_library",".zip","4"
"B_MKT_working_library",".css","3"
"B_MKT_working_library",".mp3","3"
"B_MKT_working_library",".txt","3"
"B_MKT_working_library",".wav","2"
"B_MKT_working_library",".lnk","1"
"B_MKT_working_library",".loaded_0","1"
"B_MKT_working_library",".m4a","1"
"B_MKT_working_library",".md","1"
"B_MKT_working_library",".xls","1"
"B_MKT_working_library",".potx","1"
