"Bundle","TopFolder","RelativePath","Extension","SizeBytes","LastWrite","FilenameDate","VersionSignal"
"A_frameworks_templates","README.md","README.md",".md","529","2026-06-05 00:04","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\ABM\HP_timeless Sales and Marketing framework_SS_Tminus_Apollo_summary.pdf",".pdf","3034172","2024-10-09 11:46","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Campaign_Planning_und_Orchestration\Heinz Marketing\20250724_CMO guide to marketing orchestration.pdf",".pdf","12779819","2025-07-25 19:31","2025-07-24",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Campaign_Types_und_Flows\202403_Campaign Flows Guidelines.pptx",".pptx","7116644","2024-05-23 10:22","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Campaign_Types_und_Flows\2025_campaign types_brand_DemandGen_LeadGEN_Conversion.docx",".docx","17814","2025-01-18 23:18","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Campaign_Types_und_Flows\2025_campaign types_brnd_DemandDen_LeadGen_Conversion.pptx",".pptx","810573","2025-01-20 16:04","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Campaign_Types_und_Flows\~$25_campaign types_brand_DemandGen_LeadGEN_Conversion.docx",".docx","162","2025-01-18 23:18","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Marketing_Plan_Templates\20231229_DB Schenker Marketing Plan template2.docx",".docx","24625","2024-01-01 18:58","2023-12-29","temp"
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Marketing_Strategy_Blueprint\County Marketing Planning Process_Playbook_Presentation 02.01.18111.._.pdf",".pdf","1604125","2025-04-28 13:24","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Marketing_Strategy_Blueprint\County Marketing Planning Process_Playbook_Presentation 02.01.18111.._.pptx",".pptx","3621892","2024-04-10 23:54","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Marketing_Strategy_Frameworks\20250419_Anatomy of marketing framework.docx",".docx","1979416","2025-08-01 22:50","2025-04-19",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Marketing_Strategy_Frameworks\20250419_Marketing Framework Anatomy Explained_Gemini.docx",".docx","5833897","2025-08-01 23:02","2025-04-19","Gemini"
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\OGSM\20240408_OGSM_explained.pptx",".pptx","9167755","2024-05-01 21:09","2024-04-08",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\OGSM\20240408_OGSM_explained_HP.pdf",".pdf","1101643","2025-02-09 18:10","2024-04-08",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\OGSM\OGSM Template.pptx",".pptx","3476114","2024-04-08 13:44","","Temp"
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\OGSM\Article_explain OGSM\OGSM_aPlaybookForStrategy.pdf",".pdf","400573","2025-02-09 16:54","",""
"A_frameworks_templates","01_Marketing_Strategie","01_Marketing_Strategie\Online_Strategy\Template_Online Strategy_.pptx",".pptx","2696986","2023-12-26 14:58","","Temp"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Content_Briefs\DBS_Website_Content_CopywriterBriefing_2022.08.04 (1).pdf",".pdf","540326","2024-01-05 15:24","2022-08-04","Copy"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Content_Briefs\Superpath_Content Brief Template.docx",".docx","572162","2023-12-26 14:45","","Temp"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Creative_Briefs\DBS_Creative Brief_template.docx",".docx","33098","2025-02-09 16:39","","temp"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Creative_Briefs\E2E Briefing Documents.pptx",".pptx","751115","2025-02-09 19:53","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Creative_Briefs\Examples\20240907_Custom campaign creative brief.docx",".docx","37635","2025-02-09 16:41","2024-09-07",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Creative_Briefs\Examples\DBS_Creative Brief_DBS customs.docx",".docx","42965","2025-02-09 16:40","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Email_Briefs\Copy of DBS Supplier Emails_Final_Content Workbook_16022022.xlsx",".xlsx","26237328","2024-03-27 13:44","","Copy;Final"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Event_Briefs\Event standard workbook (2).xlsx",".xlsx","1644714","2023-09-06 19:32","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Event_Briefs\In-Person event email series\20250822_in-person event series_Pam Didner.docx",".docx","29551","2025-08-22 15:42","2025-08-22",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Initiative_Briefs\dsv-initiative-brief.html",".html","44230","2026-06-03 15:02","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Initiative_Briefs\Initiaitve Modular Initiative Brief.xlsx",".xlsx","15059","2025-02-09 18:03","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Initiative_Briefs\Initiative Modula initiative brief.docx",".docx","23755","2025-02-09 17:59","",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Initiative_Briefs\Kopie von Initiative Modular Creative Brief Template.pptx",".pptx","2051265","2025-02-09 17:56","","Kopie;Temp"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Media_Briefs\20240909_DBS adapted media brief.docx",".docx","46861","2025-02-09 16:49","2024-09-09",""
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Media_Briefs\Examples\20240908_DBS Customs Media Brief_final iteration.docx",".docx","46655","2025-02-09 16:48","2024-09-08","final"
"A_frameworks_templates","02_Briefing_Templates","02_Briefing_Templates\Media_Briefs\Examples\20240909_DBS Customs Media Brief_final iterationc.docx",".docx","55032","2025-02-09 16:46","2024-09-09","final"
"A_frameworks_templates","03_Brand","03_Brand\Brand_Strategy\202408_DB Schenker Brand Strategy Part 1_text.docx",".docx","21093","2024-08-16 16:20","",""
"A_frameworks_templates","03_Brand","03_Brand\Brand_Strategy\Brand Attributes\032024_Golbal Marketing and Transformation Communication_Brand Attributes.pdf",".pdf","918147","2025-02-27 17:37","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\210319_DB Schenker Design Guide_2.0_NEW.pdf",".pdf","12612550","2024-08-07 21:25","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\2025\250429_DBS basic brand_training_social-media.pdf",".pdf","6586037","2025-04-30 12:43","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\2025\250429_DBS basic brand_training_social-media.pptx",".pptx","121579520","2025-04-30 12:31","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\2025\250429_DBS basic brand_training_social-media_essential.pdf",".pdf","773708","2025-05-13 15:37","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\2025\250429_DBS basic brand_training_social-media_essential.pptx",".pptx","7599527","2025-05-13 15:36","",""
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\PowerPoint\202504_DBS_shortD0B Schenker_Master_Samples_2024-10-23.pptx",".pptx","9531751","2025-04-16 14:04","2024-10-23","Master"
"A_frameworks_templates","03_Brand","03_Brand\Design_Guidelines\PowerPoint\DB Schenker_Master_Samples_2024-10-23.pptx",".pptx","13242926","2025-04-16 14:02","2024-10-23","Master"
"A_frameworks_templates","03_Brand","03_Brand\HP_Brand_Analysis\20240621_Brand analysis template.pptx",".pptx","988101","2024-06-21 13:28","2024-06-21","temp"
"A_frameworks_templates","03_Brand","03_Brand\HP_Brand_Analysis\BGS H2_2019 DE printers commercial report 12.20.19.pptx",".pptx","2655750","2024-06-21 13:24","",""
"A_frameworks_templates","03_Brand","03_Brand\Messaging_Frameworks\20260203_Identifying Messaging Framework Opinion Leaders_overview.docx",".docx","6219781","2026-02-03 13:29","2026-02-03",""
