"Bundle","TopFolder","DirectFolders","DirectFiles","TotalFolders","TotalFiles","SizeMB"
"A_frameworks_templates","01_Marketing_Strategie","8","0","10","16","51.18"
"A_frameworks_templates","02_Briefing_Templates","6","0","9","16","30.68"
"A_frameworks_templates","03_Brand","5","0","10","17","207.89"
"A_frameworks_templates","04_Persona_und_Audience","3","0","3","14","403.93"
"A_frameworks_templates","05_Content","3","0","4","10","37"
"A_frameworks_templates","06_AI_Prompting","7","0","45","100","262.35"
"A_frameworks_templates","07_AI_fuer_Marketing","5","0","23","35","161.51"
"A_frameworks_templates","08_Reporting_und_Ops","4","0","5","11","8.11"
"A_frameworks_templates","09_Beispiele_HP","11","1","11","29","73.94"
"A_frameworks_templates","New folder","0","0","0","0","0"
"A_frameworks_templates","_Archiv_AI_veraltet","7","0","22","63","88.91"
"A_frameworks_templates","_Archiv_Duplikate","0","0","0","0","0"
"A_frameworks_templates","_Archiv_HP_Legacy","2","0","22","47","165.54"
"B_MKT_working_library","01_Strategy_and_Planning","3","0","133","371","1306.04"
"B_MKT_working_library","02_Brand_Messaging_and_Company","2","0","13","35","402.78"
"B_MKT_working_library","03_Content_Social_and_PR","4","0","12","41","150.62"
"B_MKT_working_library","04_Campaigns_Missions_and_Projects","2","0","124","422","3968.39"
"B_MKT_working_library","05_Marketing_Automation_Analytics_and_Ops","2","0","5","4","20.52"
"B_MKT_working_library","06_Sales_and_Buyer_Enablement","2","0","18","117","332.28"
"B_MKT_working_library","07_Presentations_Meetings_and_Alignment","3","0","14","20","102.68"
